layerset,loss,optimizer,epoch,seed,layer(LAST),correct
[[150; 'relu']; [150; 'relu']],mse,adam,10,1766548841,4,0.7424242424242424
[[150; 'relu']; [150; 'relu']],mse,adam,10,3599753941,4,0.7575757575757576
[[150; 'relu']; [150; 'relu']],mse,adam,15,2485525345,4,0.6363636363636364
[[150; 'relu']; [150; 'relu']],mse,adam,15,1984918160,4,0.6666666666666666
[[150; 'relu']; [150; 'relu']],mse,adam,20,3434280709,4,0.6666666666666666
[[150; 'relu']; [150; 'relu']],mse,adam,20,3703812777,4,0.696969696969697
[[150; 'relu']; [150; 'relu']],mse,adam,25,2473100113,4,0.6363636363636364
[[150; 'relu']; [150; 'relu']],mse,adam,25,1707441331,4,0.696969696969697
[[150; 'relu']; [150; 'relu']],mse,rmsprop,10,2699705853,4,0.7424242424242424
[[150; 'relu']; [150; 'relu']],mse,rmsprop,10,1646433765,4,0.6212121212121212
[[150; 'relu']; [150; 'relu']],mse,rmsprop,15,4277214334,4,0.7121212121212122
[[150; 'relu']; [150; 'relu']],mse,rmsprop,15,526118055,4,0.7121212121212122
[[150; 'relu']; [150; 'relu']],mse,rmsprop,20,2870532165,4,0.6666666666666666
[[150; 'relu']; [150; 'relu']],mse,rmsprop,20,3920135121,4,0.6515151515151515
[[150; 'relu']; [150; 'relu']],mse,rmsprop,25,1955765701,4,0.803030303030303
[[150; 'relu']; [150; 'relu']],mse,rmsprop,25,441629493,4,0.7424242424242424
[[150; 'relu']; [150; 'linear']],mse,adam,10,1489389588,4,0.6212121212121212
[[150; 'relu']; [150; 'linear']],mse,adam,10,3153758349,4,0.7272727272727273
[[150; 'relu']; [150; 'linear']],mse,adam,15,233036771,4,0.6666666666666666
[[150; 'relu']; [150; 'linear']],mse,adam,15,1761289539,4,0.6818181818181818
[[150; 'relu']; [150; 'linear']],mse,adam,20,3765466260,4,0.6363636363636364
[[150; 'relu']; [150; 'linear']],mse,adam,20,2416014260,4,0.696969696969697
[[150; 'relu']; [150; 'linear']],mse,adam,25,2881976603,4,0.696969696969697
