layerset,loss,optimizer,epoch,seed,layer(LAST),correct
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'relu']],mse,adam,25,3173334793,4,0.6666666666666666
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'relu']],mse,adam,25,4181646685,4,0.7121212121212122
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'relu']],mse,adam,25,63538312,4,0.6818181818181818
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'relu']],mse,adam,25,78216703,4,0.6666666666666666
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'relu']],mse,adam,25,1733187283,4,0.7272727272727273
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'relu']],mse,adam,25,3412375047,4,0.696969696969697
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'relu']],mse,adam,25,195507238,4,0.7424242424242424
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'relu']],mse,adam,25,2798460119,4,0.7575757575757576
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'relu']],mse,adam,25,1084238206,4,0.6666666666666666
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'relu']],mse,adam,25,1062683302,4,0.7424242424242424
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'linear']],mse,adam,25,3503886843,4,0.7727272727272727
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'linear']],mse,adam,25,2261336754,4,0.7272727272727273
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'linear']],mse,adam,25,2796697976,4,0.696969696969697
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'linear']],mse,adam,25,4114550115,4,0.6818181818181818
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'linear']],mse,adam,25,1464618940,4,0.696969696969697
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'linear']],mse,adam,25,2639180669,4,0.7575757575757576
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'linear']],mse,adam,25,2327709341,4,0.6515151515151515
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'linear']],mse,adam,25,1756478365,4,0.6515151515151515
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'linear']],mse,adam,25,2178649839,4,0.7424242424242424
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'linear']],mse,adam,25,2448608042,4,0.6363636363636364
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'relu']],mse,adam,25,748826060,4,0.7727272727272727
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'relu']],mse,adam,25,271270866,4,0.7878787878787878
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'relu']],mse,adam,25,804928258,4,0.7272727272727273
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'relu']],mse,adam,25,4201579338,4,0.696969696969697
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'relu']],mse,adam,25,3003589301,4,0.6363636363636364
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'relu']],mse,adam,25,3936357784,4,0.6666666666666666
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'relu']],mse,adam,25,118036861,4,0.6363636363636364
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'relu']],mse,adam,25,4094695838,4,0.6818181818181818
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'relu']],mse,adam,25,1948849575,4,0.7727272727272727
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'relu']],mse,adam,25,2576139175,4,0.6666666666666666
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'linear']],mse,adam,25,3712157108,4,0.696969696969697
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'linear']],mse,adam,25,1959279129,4,0.7575757575757576
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'linear']],mse,adam,25,3527904550,4,0.6818181818181818
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'linear']],mse,adam,25,1703926233,4,0.696969696969697
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'linear']],mse,adam,25,3586932398,4,0.6666666666666666
