layerset,loss,optimizer,epoch,seed,layer,correct
[[108; 'relu']; [108; 'relu']],mse,adam,10,3679385069,3,0.6785714285714286
[[108; 'relu']; [108; 'relu']],mse,adam,10,1412192528,3,0.6785714285714286
[[108; 'relu']; [108; 'relu']],mse,adam,15,4195525294,3,0.6964285714285714
[[108; 'relu']; [108; 'relu']],mse,adam,15,2930222154,3,0.6607142857142857
[[108; 'relu']; [108; 'relu']],mse,rmsprop,10,300378530,3,0.6071428571428571
[[108; 'relu']; [108; 'relu']],mse,rmsprop,10,3553794064,3,0.6071428571428571
[[108; 'relu']; [108; 'relu']],mse,rmsprop,15,1536157675,3,0.6785714285714286
[[108; 'relu']; [108; 'relu']],mse,rmsprop,15,2404134459,3,0.6964285714285714
[[108; 'relu']; [108; 'relu']],binary_crossentropy,adam,10,2596682288,3,0.0
[[108; 'relu']; [108; 'relu']],binary_crossentropy,adam,10,3050821943,3,0.0
[[108; 'relu']; [108; 'relu']],binary_crossentropy,adam,15,1955919862,3,0.0
[[108; 'relu']; [108; 'relu']],binary_crossentropy,adam,15,3982132260,3,0.0
[[108; 'relu']; [108; 'relu']],binary_crossentropy,rmsprop,10,720318979,3,0.0
[[108; 'relu']; [108; 'relu']],binary_crossentropy,rmsprop,10,1772875780,3,0.0
[[108; 'relu']; [108; 'relu']],binary_crossentropy,rmsprop,15,2581237780,3,0.16071428571428573
[[108; 'relu']; [108; 'relu']],binary_crossentropy,rmsprop,15,1180075176,3,0.017857142857142856
[[108; 'relu']; [108; 'linear']],mse,adam,10,375688850,3,0.6964285714285714
[[108; 'relu']; [108; 'linear']],mse,adam,10,2815375460,3,0.6964285714285714
[[108; 'relu']; [108; 'linear']],mse,adam,15,2080880543,3,0.6964285714285714
[[108; 'relu']; [108; 'linear']],mse,adam,15,2040325027,3,0.6607142857142857
[[108; 'relu']; [108; 'linear']],mse,rmsprop,10,3608920644,3,0.6428571428571429
[[108; 'relu']; [108; 'linear']],mse,rmsprop,10,1685058680,3,0.6964285714285714
[[108; 'relu']; [108; 'linear']],mse,rmsprop,15,685411239,3,0.6428571428571429
[[108; 'relu']; [108; 'linear']],mse,rmsprop,15,1593373203,3,0.6428571428571429
[[108; 'relu']; [108; 'linear']],binary_crossentropy,adam,10,3029390839,3,0.0
[[108; 'relu']; [108; 'linear']],binary_crossentropy,adam,10,2668225727,3,0.0
[[108; 'relu']; [108; 'linear']],binary_crossentropy,adam,15,4106086865,3,0.0
[[108; 'relu']; [108; 'linear']],binary_crossentropy,adam,15,3058996389,3,0.0
[[108; 'relu']; [108; 'linear']],binary_crossentropy,rmsprop,10,2871598996,3,0.0
[[108; 'relu']; [108; 'linear']],binary_crossentropy,rmsprop,10,3767208267,3,0.0
[[108; 'relu']; [108; 'linear']],binary_crossentropy,rmsprop,15,174456081,3,0.0
[[108; 'relu']; [108; 'linear']],binary_crossentropy,rmsprop,15,224832896,3,0.0
[[108; 'relu']; [164; 'relu']],mse,adam,10,2572680062,3,0.6964285714285714
[[108; 'relu']; [164; 'relu']],mse,adam,10,2289288694,3,0.75
[[108; 'relu']; [164; 'relu']],mse,adam,15,2507492410,3,0.7321428571428571
[[108; 'relu']; [164; 'relu']],mse,adam,15,2582142928,3,0.75
[[108; 'relu']; [164; 'relu']],mse,rmsprop,10,2848284661,3,0.5892857142857143
[[108; 'relu']; [164; 'relu']],mse,rmsprop,10,2001396117,3,0.5178571428571429
