layerset,loss,optimizer,epoch,seed,layer(LAST),correct
[[108; 'relu']; [108; 'relu']; [108; 'relu']],mse,adam,13,158557188,3,0.6666666666666666
[[108; 'relu']; [108; 'relu']; [108; 'relu']],mse,adam,20,3067150982,3,0.7254901960784313
[[108; 'relu']; [108; 'relu']; [108; 'relu']],mse,rmsprop,13,1791193514,3,0.6862745098039216
[[108; 'relu']; [108; 'relu']; [108; 'relu']],mse,rmsprop,20,2078683535,3,0.7450980392156863
[[108; 'relu']; [108; 'relu']; [108; 'linear']],mse,adam,13,2353136994,3,0.7254901960784313
[[108; 'relu']; [108; 'relu']; [108; 'linear']],mse,adam,20,4119044470,3,0.6078431372549019
[[108; 'relu']; [108; 'relu']; [108; 'linear']],mse,rmsprop,13,468481086,3,0.5490196078431373
[[108; 'relu']; [108; 'relu']; [108; 'linear']],mse,rmsprop,20,2169892789,3,0.7058823529411765
[[108; 'relu']; [108; 'relu']; [164; 'relu']],mse,adam,13,2044955364,3,0.7254901960784313
[[108; 'relu']; [108; 'relu']; [164; 'relu']],mse,adam,20,2777960223,3,0.6666666666666666
[[108; 'relu']; [108; 'relu']; [164; 'relu']],mse,rmsprop,13,2919712098,3,0.6470588235294118
[[108; 'relu']; [108; 'relu']; [164; 'relu']],mse,rmsprop,20,3471033493,3,0.6862745098039216
[[108; 'relu']; [108; 'relu']; [164; 'linear']],mse,adam,13,2389390813,3,0.6470588235294118
[[108; 'relu']; [108; 'relu']; [164; 'linear']],mse,adam,20,339867813,3,0.7254901960784313
[[108; 'relu']; [108; 'relu']; [164; 'linear']],mse,rmsprop,13,1470064949,3,0.7450980392156863
[[108; 'relu']; [108; 'relu']; [164; 'linear']],mse,rmsprop,20,3072743982,3,0.6666666666666666
[[108; 'relu']; [108; 'relu']; [300; 'relu']],mse,adam,13,301179594,3,0.5882352941176471
[[108; 'relu']; [108; 'relu']; [300; 'relu']],mse,adam,20,1018985140,3,0.6470588235294118
[[108; 'relu']; [108; 'relu']; [300; 'relu']],mse,rmsprop,13,2345723288,3,0.7254901960784313
[[108; 'relu']; [108; 'relu']; [300; 'relu']],mse,rmsprop,20,4287162557,3,0.6862745098039216
[[108; 'relu']; [108; 'relu']; [300; 'linear']],mse,adam,13,1648333373,3,0.7058823529411765
[[108; 'relu']; [108; 'relu']; [300; 'linear']],mse,adam,20,1361951854,3,0.7843137254901961
[[108; 'relu']; [108; 'relu']; [300; 'linear']],mse,rmsprop,13,4105827636,3,0.6862745098039216
[[108; 'relu']; [108; 'relu']; [300; 'linear']],mse,rmsprop,20,392300549,3,0.6862745098039216
[[108; 'relu']; [108; 'linear']; [108; 'relu']],mse,adam,13,1573690925,3,0.6862745098039216
[[108; 'relu']; [108; 'linear']; [108; 'relu']],mse,adam,20,1043702255,3,0.6862745098039216
[[108; 'relu']; [108; 'linear']; [108; 'relu']],mse,rmsprop,13,3856354434,3,0.6274509803921569
[[108; 'relu']; [108; 'linear']; [108; 'relu']],mse,rmsprop,20,2401448994,3,0.6274509803921569
[[108; 'relu']; [108; 'linear']; [108; 'linear']],mse,adam,13,2043608597,3,0.6078431372549019
[[108; 'relu']; [108; 'linear']; [108; 'linear']],mse,adam,20,3291681928,3,0.6666666666666666
[[108; 'relu']; [108; 'linear']; [108; 'linear']],mse,rmsprop,13,912679071,3,0.803921568627451
[[108; 'relu']; [108; 'linear']; [108; 'linear']],mse,rmsprop,20,4039726223,3,0.6666666666666666
[[108; 'relu']; [108; 'linear']; [164; 'relu']],mse,adam,13,3562772745,3,0.6274509803921569
[[108; 'relu']; [108; 'linear']; [164; 'relu']],mse,adam,20,540294178,3,0.6078431372549019
