layerset,loss,optimizer,epoch,seed,layer,correct
[[108; 'relu']; [108; 'relu']; [108; 'relu']],mse,adam,13,951273039,3,0.6428571428571429
[[108; 'relu']; [108; 'relu']; [108; 'relu']],mse,adam,20,3626502779,3,0.6964285714285714
[[108; 'relu']; [108; 'relu']; [108; 'relu']],mse,rmsprop,13,2087713866,3,0.6964285714285714
[[108; 'relu']; [108; 'relu']; [108; 'relu']],mse,rmsprop,20,2022543111,3,0.6964285714285714
[[108; 'relu']; [108; 'relu']; [108; 'linear']],mse,adam,13,698693076,3,0.6428571428571429
[[108; 'relu']; [108; 'relu']; [108; 'linear']],mse,adam,20,3978170884,3,0.75
[[108; 'relu']; [108; 'relu']; [108; 'linear']],mse,rmsprop,13,3955692768,3,0.6785714285714286
[[108; 'relu']; [108; 'relu']; [108; 'linear']],mse,rmsprop,20,1832619664,3,0.6785714285714286
[[108; 'relu']; [108; 'relu']; [164; 'relu']],mse,adam,13,499913283,3,0.6607142857142857
[[108; 'relu']; [108; 'relu']; [164; 'relu']],mse,adam,20,759140275,3,0.7678571428571429
[[108; 'relu']; [108; 'relu']; [164; 'relu']],mse,rmsprop,13,3974931329,3,0.625
[[108; 'relu']; [108; 'relu']; [164; 'relu']],mse,rmsprop,20,1733697827,3,0.6964285714285714
[[108; 'relu']; [108; 'relu']; [164; 'linear']],mse,adam,13,3485974393,3,0.7142857142857143
[[108; 'relu']; [108; 'relu']; [164; 'linear']],mse,adam,20,3313491062,3,0.5535714285714286
[[108; 'relu']; [108; 'relu']; [164; 'linear']],mse,rmsprop,13,4122598728,3,0.6428571428571429
[[108; 'relu']; [108; 'relu']; [164; 'linear']],mse,rmsprop,20,2644313297,3,0.6964285714285714
[[108; 'relu']; [108; 'relu']; [300; 'relu']],mse,adam,13,1439290911,3,0.6071428571428571
[[108; 'relu']; [108; 'relu']; [300; 'relu']],mse,adam,20,2053456481,3,0.7678571428571429
[[108; 'relu']; [108; 'relu']; [300; 'relu']],mse,rmsprop,13,1547006462,3,0.6428571428571429
[[108; 'relu']; [108; 'relu']; [300; 'relu']],mse,rmsprop,20,2867672069,3,0.6964285714285714
[[108; 'relu']; [108; 'relu']; [300; 'linear']],mse,adam,13,3645900675,3,0.75
[[108; 'relu']; [108; 'relu']; [300; 'linear']],mse,adam,20,38872677,3,0.7142857142857143
[[108; 'relu']; [108; 'relu']; [300; 'linear']],mse,rmsprop,13,286558745,3,0.6785714285714286
[[108; 'relu']; [108; 'relu']; [300; 'linear']],mse,rmsprop,20,430100419,3,0.6071428571428571
[[108; 'relu']; [108; 'linear']; [108; 'relu']],mse,adam,13,2151553847,3,0.6785714285714286
[[108; 'relu']; [108; 'linear']; [108; 'relu']],mse,adam,20,722350501,3,0.6964285714285714
[[108; 'relu']; [108; 'linear']; [108; 'relu']],mse,rmsprop,13,1241979061,3,0.6428571428571429
[[108; 'relu']; [108; 'linear']; [108; 'relu']],mse,rmsprop,20,209487209,3,0.6964285714285714
[[108; 'relu']; [108; 'linear']; [108; 'linear']],mse,adam,13,1360486372,3,0.7142857142857143
[[108; 'relu']; [108; 'linear']; [108; 'linear']],mse,adam,20,1148354483,3,0.6071428571428571
[[108; 'relu']; [108; 'linear']; [108; 'linear']],mse,rmsprop,13,3687736959,3,0.6785714285714286
[[108; 'relu']; [108; 'linear']; [108; 'linear']],mse,rmsprop,20,3060113068,3,0.625
[[108; 'relu']; [108; 'linear']; [164; 'relu']],mse,adam,13,4028671220,3,0.7142857142857143
[[108; 'relu']; [108; 'linear']; [164; 'relu']],mse,adam,20,3059466557,3,0.6785714285714286
[[108; 'relu']; [108; 'linear']; [164; 'relu']],mse,rmsprop,13,683240640,3,0.6964285714285714
[[108; 'relu']; [108; 'linear']; [164; 'relu']],mse,rmsprop,20,3870605940,3,0.6785714285714286
[[108; 'relu']; [108; 'linear']; [164; 'linear']],mse,adam,13,2509495960,3,0.75
[[108; 'relu']; [108; 'linear']; [164; 'linear']],mse,adam,20,863013678,3,0.6785714285714286
[[108; 'relu']; [108; 'linear']; [164; 'linear']],mse,rmsprop,13,3410590865,3,0.5535714285714286
[[108; 'relu']; [108; 'linear']; [164; 'linear']],mse,rmsprop,20,489408697,3,0.6607142857142857
[[108; 'relu']; [108; 'linear']; [300; 'relu']],mse,adam,13,3939233751,3,0.6785714285714286
[[108; 'relu']; [108; 'linear']; [300; 'relu']],mse,adam,20,4162811374,3,0.6607142857142857
[[108; 'relu']; [108; 'linear']; [300; 'relu']],mse,rmsprop,13,785241990,3,0.625
[[108; 'relu']; [108; 'linear']; [300; 'relu']],mse,rmsprop,20,2697722828,3,0.625
[[108; 'relu']; [108; 'linear']; [300; 'linear']],mse,adam,13,2956074936,3,0.75
[[108; 'relu']; [108; 'linear']; [300; 'linear']],mse,adam,20,928954681,3,0.6428571428571429
[[108; 'relu']; [108; 'linear']; [300; 'linear']],mse,rmsprop,13,3867792436,3,0.6607142857142857
[[108; 'relu']; [108; 'linear']; [300; 'linear']],mse,rmsprop,20,1090310398,3,0.6785714285714286
[[108; 'relu']; [164; 'relu']; [108; 'relu']],mse,adam,13,2196080967,3,0.6428571428571429
[[108; 'relu']; [164; 'relu']; [108; 'relu']],mse,adam,20,665341391,3,0.7321428571428571
[[108; 'relu']; [164; 'relu']; [108; 'relu']],mse,rmsprop,13,2899368842,3,0.5357142857142857
